date,CA_1,CA_2,CA_3,CA_4
2011-01-29,10933.16,9101.52,11679.83,4561.59
2011-01-30,9787.06,8417.53,12161.460000000001,4681.41
2011-01-31,7201.38,5320.51,9123.86,3637.98
2011-02-01,7407.74,5550.56,10249.78,3708.92
2011-02-02,6566.12,5229.72,9538.65,3841.14
2011-02-03,7945.73,5722.88,10407.26,3420.46
2011-02-04,8546.76,7099.03,11640.09,3965.84
2011-02-05,13375.4,10396.81,13721.66,4990.9
2011-02-06,10591.43,8288.25,14462.15,4714.09
2011-02-07,7704.54,5987.1,11940.49,3985.17
2011-02-08,7848.65,6006.15,11286.13,3633.39
2011-02-09,6937.64,5486.01,10938.55,3368.97
2011-02-10,7759.82,6223.39,12148.75,3877.91
2011-02-11,8589.23,7580.03,11778.01,3862.11
2011-02-12,11516.6,10513.28,13604.53,4219.47
2011-02-13,12010.84,10703.710000000001,15408.56,5455.49
2011-02-14,7357.19,5217.48,9192.630000000001,3460.92
2011-02-15,6376.43,5559.33,9894.83,3986.9
2011-02-16,5993.4,5421.54,9895.3,3528.21
2011-02-17,5798.32,5209.19,8903.18,3168.0
2011-02-18,8667.37,6704.45,9306.4,4241.65
2011-02-19,11221.92,9046.66,13070.74,4712.79
2011-02-20,10639.78,9486.79,13522.98,4452.87
2011-02-21,8847.26,7926.37,12338.05,4425.69
2011-02-22,6355.31,5394.3,9707.96,3528.56
2011-02-23,6197.29,5550.77,8883.16,3555.49
2011-02-24,5991.66,4855.61,8966.16,3090.91
2011-02-25,7513.57,6354.13,10104.59,3781.53
2011-02-26,9827.54,9773.58,13527.7,4511.62
2011-02-27,9947.56,8389.28,12572.61,4692.87
2011-02-28,6152.81,5522.2,10293.09,3769.12
2011-03-01,7105.39,5510.73,10659.85,3903.39
2011-03-02,6679.94,5575.73,10591.43,3624.16
2011-03-03,7233.0,6160.62,10878.99,3742.89
2011-03-04,8303.6,6297.09,10436.19,4142.97
2011-03-05,10823.55,9888.36,13811.14,4565.52
2011-03-06,12041.49,10155.66,16542.05,5628.63
2011-03-07,8182.63,5738.98,11756.0,4245.24
2011-03-08,7624.81,5441.57,10863.58,3925.97
2011-03-09,7082.99,5593.31,9776.68,3527.26
2011-03-10,6738.09,5759.67,10846.68,3895.54
2011-03-11,8580.3,7232.88,10719.77,4027.85
2011-03-12,10785.64,9566.6,12864.32,4651.86
2011-03-13,10987.76,9675.59,14319.84,4836.76
2011-03-14,7551.39,5788.02,11284.29,4227.43
2011-03-15,6341.98,5327.71,9877.19,3688.34
2011-03-16,6861.56,5724.2699999999995,10111.95,4017.91
2011-03-17,6663.34,5935.47,9768.25,3481.41
2011-03-18,7796.06,6472.51,9633.37,4135.52
2011-03-19,11266.27,10365.8,14240.72,4518.76
2011-03-20,11011.93,9807.66,14534.91,4604.35
2011-03-21,7001.74,6015.17,11276.25,4137.43
2011-03-22,6609.07,5949.5,10001.02,3586.54
2011-03-23,5530.89,5769.88,8794.17,3336.11
2011-03-24,6001.02,4708.86,7939.7,2776.9
2011-03-25,7554.65,7777.63,10846.97,4074.3
2011-03-26,10507.55,9677.7,13587.41,4381.75
2011-03-27,10845.91,9467.72,13364.9,4301.07
2011-03-28,7193.31,5959.39,10291.62,3594.55
2011-03-29,6302.38,5770.59,8216.85,3322.99
2011-03-30,5680.53,5106.76,9192.32,3341.04
2011-03-31,6717.91,6279.75,9305.15,3799.91
2011-04-01,9653.04,7729.69,11770.88,4382.98
2011-04-02,11933.93,10040.8,14332.7,4971.83
2011-04-03,11937.25,9501.13,15459.27,4943.87
2011-04-04,9240.1,6588.38,12927.42,4449.37
2011-04-05,7439.11,5885.36,11194.89,4029.9
2011-04-06,7200.88,5955.23,10950.24,3918.23
2011-04-07,8019.64,6154.0,10837.74,3880.28
2011-04-08,8998.74,6777.69,10832.56,4009.31
2011-04-09,11294.94,9945.79,13726.7,4751.8
2011-04-10,11463.66,9566.09,15535.630000000001,5495.19
2011-04-11,8184.35,6387.15,11360.6,4717.39
2011-04-12,7134.55,4994.43,9680.39,3985.09
2011-04-13,6325.99,5334.05,9271.98,3503.85
2011-04-14,6697.65,5803.64,9738.84,3766.39
2011-04-15,8403.16,6655.15,11331.61,3977.67
2011-04-16,10095.54,9249.7,13295.92,4617.26
2011-04-17,10922.0,9120.98,14131.84,5355.65
2011-04-18,7876.82,5437.52,11105.78,4124.81
2011-04-19,6805.62,5841.31,9444.89,4249.99
