date,TX_1,TX_2,TX_3
2011-01-29,6586.68,9915.78,7597.99
2011-01-30,6610.6,9804.54,7356.54
2011-01-31,4551.97,6651.16,5406.7
2011-02-01,5374.39,6985.6,5597.97
2011-02-02,4347.07,6039.05,4069.74
2011-02-03,6769.82,8363.24,6875.96
2011-02-04,4435.84,6608.13,4960.6
2011-02-05,7226.66,9818.03,6918.25
2011-02-06,7866.75,10130.28,7555.79
2011-02-07,5456.29,7874.0,5920.59
2011-02-08,4458.54,6799.66,5406.49
2011-02-09,5150.65,6615.14,4987.9
2011-02-10,5093.34,6811.0,4482.26
2011-02-11,5740.67,7871.46,5614.91
2011-02-12,7846.17,10695.95,8229.49
2011-02-13,9367.68,13496.41,9508.51
2011-02-14,5250.06,7514.52,5862.15
2011-02-15,5899.28,7941.27,6378.15
2011-02-16,5348.45,7306.55,5571.37
2011-02-17,5121.75,6780.45,5514.03
2011-02-18,5677.7300000000005,7511.26,6084.96
2011-02-19,7407.07,10549.29,7965.51
2011-02-20,7528.32,11312.32,8137.24
2011-02-21,5311.86,8108.14,5941.78
2011-02-22,5088.61,7175.33,5237.19
2011-02-23,4414.97,6120.26,5161.41
2011-02-24,5122.85,6642.92,4859.74
2011-02-25,4890.25,6920.27,5175.12
2011-02-26,6909.73,10042.35,6586.89
2011-02-27,7063.87,10532.49,7314.1
2011-02-28,5242.16,7381.18,5429.12
2011-03-01,5096.65,8150.36,5674.71
2011-03-02,5002.81,6845.14,5001.84
2011-03-03,5034.9800000000005,7195.16,5728.4
2011-03-04,4649.03,7403.22,5583.88
2011-03-05,7115.14,10224.45,7862.69
2011-03-06,7985.27,12249.42,7803.3
2011-03-07,6145.66,8404.36,6369.02
2011-03-08,4949.96,6881.19,5347.57
2011-03-09,5855.31,7159.33,5474.74
2011-03-10,4851.22,6892.01,5191.39
2011-03-11,5404.5,7922.74,5846.58
2011-03-12,7474.39,9901.75,7185.81
2011-03-13,7635.31,10981.61,7759.09
2011-03-14,5822.35,8378.45,5912.21
2011-03-15,6514.98,7781.34,5918.43
2011-03-16,5116.57,6934.07,5728.45
2011-03-17,5439.55,7219.36,5111.26
2011-03-18,5725.64,7815.41,5718.27
2011-03-19,6486.11,9461.14,6117.13
2011-03-20,7725.47,9785.37,7076.86
2011-03-21,5387.35,7194.57,5727.36
2011-03-22,4580.4,6279.32,4978.71
2011-03-23,4633.64,6123.62,5082.55
2011-03-24,4664.09,6467.82,4511.55
2011-03-25,5031.52,6837.28,5165.9
2011-03-26,6476.61,8966.99,6765.06
2011-03-27,7505.22,10448.69,7566.7699999999995
2011-03-28,4713.58,7044.52,5222.32
2011-03-29,4430.91,6170.27,4878.53
2011-03-30,4597.75,5738.76,4389.78
2011-03-31,4632.0,6376.12,4962.0199999999995
2011-04-01,6662.47,7685.43,6612.87
2011-04-02,7074.12,9813.99,7507.58
2011-04-03,7807.28,10857.5,8340.72
2011-04-04,5163.2300000000005,6700.44,5739.6
2011-04-05,5713.29,7245.85,5334.87
2011-04-06,5176.89,6931.94,5068.18
2011-04-07,5588.25,7434.13,5530.46
2011-04-08,5664.96,7609.2,5595.05
2011-04-09,7450.27,10018.75,6942.86
2011-04-10,7981.56,10935.460000000001,7161.49
2011-04-11,6070.84,8258.08,5996.55
2011-04-12,5995.68,7720.29,5629.95
2011-04-13,5674.95,8016.35,5312.26
2011-04-14,4955.31,7252.52,5176.56
2011-04-15,6280.36,8844.47,6020.68
2011-04-16,7267.33,10150.4,7438.73
2011-04-17,7700.33,10267.52,7987.7300000000005
2011-04-18,5405.64,7564.62,5837.33
2011-04-19,5167.57,6625.21,5258.71
2011-04-20,4837.65,6791.92,5529.7
2011-04-21,4848.04,6709.03,4708.27
2011-04-22,5594.54,8902.42,6425.7
2011-04-23,6627.29,9886.31,7838.83
2011-04-24,6700.31,9479.61,5768.39
2011-04-25,4798.02,7424.53,5433.86
2011-04-26,4255.0,6046.34,4899.72
2011-04-27,4381.45,6145.21,4572.58
2011-04-28,4178.25,6444.89,4610.16
2011-04-29,5000.77,7942.39,5040.62
2011-04-30,6777.32,9954.3,6570.29
2011-05-01,7993.65,11084.31,7972.36
2011-05-02,5197.54,6892.51,5240.09
2011-05-03,5686.62,7318.79,6289.66
2011-05-04,4545.21,6628.1,4958.7300000000005
2011-05-05,5230.42,6804.71,5093.06
2011-05-06,7567.22,7761.9,5971.13
2011-05-07,7089.05,9313.07,6894.9800000000005
2011-05-08,5912.75,7758.9,6054.28
2011-05-09,6390.38,9043.14,5905.21
2011-05-10,5357.07,7102.43,4989.05
2011-05-11,5166.41,7366.66,6429.82
2011-05-12,5448.56,7209.09,5798.76
2011-05-13,6608.83,8433.17,6968.96
2011-05-14,6867.91,10276.28,7268.91
2011-05-15,8245.8,11309.79,8508.69
2011-05-16,5952.72,7623.17,5777.68
2011-05-17,5400.54,6950.96,5122.89
2011-05-18,4442.0,6405.49,4838.27
2011-05-19,4515.89,6668.72,4692.39
2011-05-20,5278.0,6734.94,5247.73
2011-05-21,6520.47,9375.68,6890.79
2011-05-22,6929.9400000000005,9972.23,6916.4
2011-05-23,5021.66,7182.13,5304.5
2011-05-24,4250.41,6209.27,5345.53
2011-05-25,4685.65,6606.63,4715.9
2011-05-26,4617.59,6963.67,5574.34
2011-05-27,4816.82,6908.7300000000005,5762.24
2011-05-28,6127.33,9104.05,6976.99
2011-05-29,6085.06,7998.67,6317.83
2011-05-30,5674.05,7919.17,6361.6900000000005
2011-05-31,4776.37,6240.02,5206.18
2011-06-01,6454.55,7970.4,6552.06
2011-06-02,5306.3,7112.4,5563.14
2011-06-03,6472.83,8253.38,7328.34
2011-06-04,6746.15,9290.34,7658.25
2011-06-05,7647.85,11026.210000000001,7631.63
2011-06-06,6051.03,8921.64,7838.35
2011-06-07,6585.78,7982.99,6960.39
2011-06-08,5478.72,7982.6900000000005,6297.3
2011-06-09,6030.4,7750.81,6489.66
2011-06-10,6326.25,8632.85,6366.02
2011-06-11,7400.92,9859.57,8681.01
2011-06-12,8039.81,11245.48,9043.84
2011-06-13,6180.4,9078.13,7450.84
2011-06-14,5839.53,7435.94,6424.1
2011-06-15,5871.28,8539.28,7043.81
2011-06-16,5454.17,7298.06,6158.89
2011-06-17,5937.64,7632.74,7021.14
2011-06-18,6740.51,9441.95,8255.4
2011-06-19,6724.49,9018.27,7571.37
2011-06-20,5964.69,8009.53,6420.13
2011-06-21,5083.26,6860.7,5887.7300000000005
2011-06-22,4120.8,6297.88,5293.47
2011-06-23,5327.9,7193.83,5838.09
2011-06-24,5694.11,7900.95,6742.9400000000005
2011-06-25,6254.89,8993.98,7003.12
2011-06-26,7006.19,9060.43,8201.49
2011-06-27,5360.05,7454.43,6290.55
2011-06-28,4612.69,6516.84,5661.2300000000005
2011-06-29,4316.02,6814.59,5080.87
2011-06-30,4575.06,6814.2300000000005,5734.68
2011-07-01,7224.0,9647.02,8077.71
2011-07-02,6700.57,9600.84,8313.47
2011-07-03,7243.93,9055.63,8216.54
2011-07-04,5592.57,8126.4800000000005,6702.2
2011-07-05,6035.53,8403.81,6985.9800000000005
2011-07-06,6076.85,7483.96,6125.39
2011-07-07,6819.68,8587.26,7663.83
2011-07-08,6060.54,8235.14,6810.9400000000005
2011-07-09,7557.05,10540.79,8192.91
2011-07-10,7303.69,10037.44,8708.42
2011-07-11,6806.61,9020.38,7693.11
2011-07-12,6210.96,7811.45,6824.24
2011-07-13,6517.12,8232.56,7230.27
2011-07-14,5190.67,7752.650000000001,6337.59
2011-07-15,7075.25,9518.95,7357.49
2011-07-16,7474.65,10280.22,8654.78
2011-07-17,7593.95,10108.54,8902.86
2011-07-18,5714.25,7353.64,6992.65
2011-07-19,5286.4,6555.4,5298.12
2011-07-20,4805.69,7679.53,5782.75
2011-07-21,5180.12,6990.83,6136.13
2011-07-22,5905.95,8288.03,6455.76
2011-07-23,6612.3,9987.23,7630.52
2011-07-24,6984.56,10026.99,8268.02
2011-07-25,5380.61,8276.57,6859.26
2011-07-26,5128.6,6923.07,5348.07
2011-07-27,4521.21,6685.06,5635.94
2011-07-28,4878.89,6909.64,5789.16
2011-07-29,5445.03,7885.51,6187.52
2011-07-30,6046.96,9653.57,7699.1
2011-07-31,6992.71,9531.83,8868.35
2011-08-01,6591.59,9197.81,8111.61
2011-08-02,5422.29,7124.61,6584.79
2011-08-03,6195.34,8150.36,7268.87
2011-08-04,5260.67,8069.46,7227.55
2011-08-05,6224.62,8545.3,7433.47
2011-08-06,8066.32,10637.32,8484.91
2011-08-07,8477.41,11006.79,9806.56
2011-08-08,5962.52,8579.08,7004.31
2011-08-09,6493.64,8190.08,6366.75
2011-08-10,5620.48,7919.19,6060.5
2011-08-11,6187.7,8530.57,6651.4800000000005
2011-08-12,7231.43,9659.76,7503.37
2011-08-13,9272.73,11628.97,9207.72
2011-08-14,8295.81,11107.15,9864.75
2011-08-15,7030.29,9481.7,8045.4800000000005
2011-08-16,6156.78,8354.33,6223.55
2011-08-17,6073.21,7700.9800000000005,6561.51
2011-08-18,5662.98,7671.03,6129.2300000000005
2011-08-19,6451.39,9067.26,7219.37
2011-08-20,8287.28,11057.03,8560.76
2011-08-21,9860.23,11721.57,10042.23
2011-08-22,6434.71,8911.95,6859.47
2011-08-23,5513.75,7403.25,6152.94
2011-08-24,5146.08,6569.57,5513.07
2011-08-25,4890.62,6872.51,5229.1
2011-08-26,5056.13,8034.45,6437.4800000000005
2011-08-27,7371.9,10117.13,8558.89
2011-08-28,7897.99,10320.86,8775.13
2011-08-29,5056.04,7594.9400000000005,5920.38
2011-08-30,4983.45,6604.04,5039.05
2011-08-31,4986.2,7663.5,5220.38
2011-09-01,7170.11,8450.34,6989.09
2011-09-02,6315.18,8513.72,7178.21
2011-09-03,8857.08,10777.87,8954.35
2011-09-04,6897.25,5763.76,7067.62
2011-09-05,7318.86,9867.91,7776.79
2011-09-06,5721.59,7617.76,6842.05
2011-09-07,6760.54,7895.38,6963.04
2011-09-08,5688.68,7338.3,5756.31
2011-09-09,6988.22,9616.11,6691.67
2011-09-10,8088.74,11117.98,8672.47
2011-09-11,8849.54,12208.86,10165.69
2011-09-12,6594.39,8532.59,7580.87
2011-09-13,6998.2300000000005,9961.32,6627.42
2011-09-14,5888.61,7329.69,6259.72
2011-09-15,7248.48,9307.06,6362.13
2011-09-16,6938.66,8737.54,7081.35
2011-09-17,8130.19,11172.87,8788.58
2011-09-18,7955.45,11401.75,9476.8
2011-09-19,5963.97,8346.69,7343.94
2011-09-20,5346.3,7400.03,5404.96
2011-09-21,5363.0,6377.16,5139.79
2011-09-22,4934.58,6884.66,5414.27
2011-09-23,5543.52,8220.47,6584.86
2011-09-24,7786.16,10283.28,8151.53
2011-09-25,8158.03,10846.77,9215.86
2011-09-26,5632.57,7751.17,6290.87
2011-09-27,5020.81,6731.4,5581.15
